Stage3, S8_P2, SHORT_ACTION, SHORT_1, 263200.0, 0.024058026054324118
Stage3, S8_P2, SHORT_ACTION, SHORT_10, 0.0, 0.024058026054324118
Stage3, S8_P2, SHORT_ACTION, SHORT_2, 263200.0, 0.024058026054324118
Stage3, S8_P2, SHORT_ACTION, SHORT_3, 20211.570247849566, 0.024058026054324118
Stage3, S8_P2, SHORT_ACTION, SHORT_4, 0.0, 0.024058026054324118
Stage3, S8_P2, SHORT_ACTION, SHORT_5, 0.0, 0.024058026054324118
Stage3, S8_P2, SHORT_ACTION, SHORT_6, 0.0, 0.024058026054324118
Stage3, S8_P2, SHORT_ACTION, SHORT_7, 0.0, 0.024058026054324118
Stage3, S8_P2, SHORT_ACTION, SHORT_8, 0.0, 0.024058026054324118
Stage3, S8_P2, SHORT_ACTION, SHORT_9, 0.0, 0.024058026054324118
Stage3, S8_P2, ST_ACTION, OPTION, 200000.0, 0.024058026054324118
Stage3, S8_P2, ST_ACTION, RESTRICT, 0.0, 0.024058026054324118
Stage3, S8_P2, ST_ACTION, SPOT, 50000.0, 0.024058026054324118
Stage3, NoShortage_P3, EXP_VOP_ACTION, DESAL, 535679.9999999844, 0.00467095739298734
Stage3, NoShortage_P3, SHORT_ACTION, SHORT_1, 0.0, 0.00467095739298734
Stage3, NoShortage_P3, SHORT_ACTION, SHORT_10, 0.0, 0.00467095739298734
Stage3, NoShortage_P3, SHORT_ACTION, SHORT_2, 0.0, 0.00467095739298734
Stage3, NoShortage_P3, SHORT_ACTION, SHORT_3, 0.0, 0.00467095739298734
Stage3, NoShortage_P3, SHORT_ACTION, SHORT_4, 0.0, 0.00467095739298734
Stage3, NoShortage_P3, SHORT_ACTION, SHORT_5, 0.0, 0.00467095739298734
Stage3, NoShortage_P3, SHORT_ACTION, SHORT_6, 0.0, 0.00467095739298734
Stage3, NoShortage_P3, SHORT_ACTION, SHORT_7, 0.0, 0.00467095739298734
Stage3, NoShortage_P3, SHORT_ACTION, SHORT_8, 0.0, 0.00467095739298734
Stage3, NoShortage_P3, SHORT_ACTION, SHORT_9, 0.0, 0.00467095739298734
Stage3, NoShortage_P3, ST_ACTION, OPTION, 0.0, 0.00467095739298734
Stage3, NoShortage_P3, ST_ACTION, RESTRICT, 0.0, 0.00467095739298734
Stage3, NoShortage_P3, ST_ACTION, SPOT, 0.0, 0.00467095739298734
Stage3, S1_P3, EXP_VOP_ACTION, DESAL, 535679.9999999844, 0.014012872178962035
Stage3, S1_P3, SHORT_ACTION, SHORT_1, 0.0, 0.014012872178962035
Stage3, S1_P3, SHORT_ACTION, SHORT_10, 0.0, 0.014012872178962035
